model_name,dataset_name,batch_size,max_seq_length,max_eval_samples,sort_dataset,seed,results_csv,method,timestamp,eval_loss,eval_model_preparation_time,eval_runtime,eval_samples_per_second,eval_steps_per_second
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,1,2048,512,True,42,./results.csv,vanilla,2025-07-03 08:27:12,2.43746280670166,0.0512,12.0068,42.642,42.642
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,1,2048,512,True,42,./results.csv,sft_with_compute_loss,2025-07-03 08:27:35,2.43746280670166,0.0517,11.7099,43.724,43.724
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,1,2048,512,False,42,./results.csv,vanilla,2025-07-03 08:27:59,2.43746280670166,0.0515,12.0557,42.469,42.469
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,1,2048,512,False,42,./results.csv,sft_with_compute_loss,2025-07-03 08:28:21,2.43746280670166,0.0519,11.6107,44.097,44.097
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,2,2048,512,True,42,./results.csv,vanilla,2025-07-03 08:28:44,2.43509578704834,0.052,11.1904,45.753,22.877
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,2,2048,512,True,42,./results.csv,sft_with_compute_loss,2025-07-03 08:29:06,2.43509578704834,0.0527,10.4909,48.804,24.402
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,2,2048,512,False,42,./results.csv,vanilla,2025-07-03 08:29:31,2.3703057765960693,0.0517,14.5527,35.183,17.591
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,2,2048,512,False,42,./results.csv,sft_with_compute_loss,2025-07-03 08:29:56,2.3703057765960693,0.0502,13.6057,37.631,18.816
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,4,2048,512,True,42,./results.csv,vanilla,2025-07-03 08:30:17,2.4291367530822754,0.0522,10.3119,49.651,12.413
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,4,2048,512,True,42,./results.csv,sft_with_compute_loss,2025-07-03 08:30:38,2.4291367530822754,0.0501,9.5512,53.606,13.401
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,4,2048,512,False,42,./results.csv,vanilla,2025-07-03 08:31:07,2.3398828506469727,0.0474,17.8279,28.719,7.18
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,4,2048,512,False,42,./results.csv,sft_with_compute_loss,2025-07-03 08:31:34,2.3398828506469727,0.051,16.6132,30.819,7.705
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,8,2048,512,True,42,./results.csv,vanilla,2025-07-03 08:31:56,2.4280009269714355,0.052,10.2041,50.176,6.272
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,8,2048,512,True,42,./results.csv,sft_with_compute_loss,2025-07-03 08:32:16,2.428001046180725,0.0517,9.4677,54.078,6.76
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,8,2048,512,False,42,./results.csv,vanilla,2025-07-03 08:32:48,2.3393654823303223,0.0497,20.5182,24.953,3.119
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,8,2048,512,False,42,./results.csv,sft_with_compute_loss,2025-07-03 08:33:18,2.3393654823303223,0.0542,19.0809,26.833,3.354
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,16,2048,512,True,42,./results.csv,vanilla,2025-07-03 08:33:39,2.422919273376465,0.0513,10.5602,48.484,3.03
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,16,2048,512,True,42,./results.csv,sft_with_compute_loss,2025-07-03 08:34:00,2.422919273376465,0.0494,9.7817,52.342,3.271
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,16,2048,512,False,42,./results.csv,vanilla,2025-07-03 08:34:33,2.3407506942749023,0.0531,22.3417,22.917,1.432
meta-llama/Llama-3.2-1B,togethercomputer/RedPajama-Data-1T-Sample,16,2048,512,False,42,./results.csv,sft_with_compute_loss,2025-07-03 08:35:06,2.3407506942749023,0.05,20.7981,24.618,1.539
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,1,2048,512,True,42,./results.csv,vanilla,2025-07-03 08:35:50,2.25365686416626,0.0001,30.0299,17.05,17.05
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,1,2048,512,True,42,./results.csv,sft_with_compute_loss,2025-07-03 08:36:32,2.25365686416626,0.0001,29.6144,17.289,17.289
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,1,2048,512,False,42,./results.csv,vanilla,2025-07-03 08:37:14,2.2536566257476807,0.0001,29.8174,17.171,17.171
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,1,2048,512,False,42,./results.csv,sft_with_compute_loss,2025-07-03 08:37:56,2.2536566257476807,0.0001,29.3484,17.446,17.446
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,2,2048,512,True,42,./results.csv,vanilla,2025-07-03 08:38:35,2.250344038009644,0.0001,27.4952,18.621,9.311
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,2,2048,512,True,42,./results.csv,sft_with_compute_loss,2025-07-03 08:39:14,2.250344038009644,0.0001,26.9199,19.019,9.51
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,2,2048,512,False,42,./results.csv,vanilla,2025-07-03 08:40:03,2.183624505996704,0.0001,36.5671,14.002,7.001
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,2,2048,512,False,42,./results.csv,sft_with_compute_loss,2025-07-03 08:40:50,2.183624505996704,0.0001,35.4524,14.442,7.221
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,4,2048,512,True,42,./results.csv,vanilla,2025-07-03 08:41:27,2.243725776672364,0.0001,25.5324,20.053,5.013
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,4,2048,512,True,42,./results.csv,sft_with_compute_loss,2025-07-03 08:42:04,2.243725776672364,0.0002,24.6952,20.733,5.183
meta-llama/Llama-3.2-3B,togethercomputer/RedPajama-Data-1T-Sample,4,2048,512,False,42,./results.csv,vanilla,2025-07-03 08:43:01,2.1547975540161133,0.0001,44.9119,11.4,2.85
